"","Site","Cover","Biomass","SE","Root","SE.1","Opslag","SE.2","Litter","SE.3","Soil.Ca","SE.4","Total","SE.5","Rate","SE.6"
"1","KP.Transformed","Open",0,0,0.15,0.03,0.005,0.002,0,0,4.7,0.5,4.9,0.5,NA,NA
"2","K5","Open",0,0,0.24,0.07,0,0,0,0,6.5,0.2,6.8,0.3,0.38,0.17
"3","K7","Open",0,0,0.14,0.02,0,0,0,0,6.5,0.9,6.7,0.9,0.26,0.1
"4","K13","Open",0,0,0.3,0.06,0,0,0,0,6.3,1.1,6.6,1.1,0.14,0.04
"5","K27","Open",0,0,0.65,0.28,0,0,0,0,12.2,0.9,12.9,0.9,0.3,0.06
"6","KP.Transformed","Open",0,0,0.15,0.03,0.005,0.002,0,0,4.7,0.5,4.9,0.5,NA,NA
"7","K5","Canopy",0.68,0.1,0.44,0.13,0.05,0.01,0.01,0.002,6.2,0.7,7.4,0.6,0.51,0.23
"8","K7","Canopy",0.96,0.03,0.27,0.06,0.06,0.02,0.05,0.02,6.7,0.9,8,0.9,0.45,0.17
"9","K13","Canopy",2.74,0.5,0.71,0.26,0.13,0.06,0.07,0.01,6.5,0.2,10.2,0.9,0.41,0.11
"10","K27R","Canopy",2.39,0.3,1.66,0.44,0.25,0.15,0.34,0.04,7.4,1.2,11.8,0.9,0.26,0.05
"11","K27","Canopy",3.33,0.4,0.95,0.15,0.25,0.15,0.12,0.03,11.7,0.8,16.4,1.1,0.43,0.08
"12","KP.Transformed","Open",0,0,0.15,0.03,0.005,0.002,0,0,4.7,0.5,4.9,0.5,NA,NA
"13","K5","Combined",0.19,0.02,0.3,0.05,0.05,0.01,0.003,0.001,6.4,0.3,7,0.3,0.42,0.19
"14","K7","Combined",0.53,0.02,0.21,0.03,0.06,0.02,0.03,0.01,6.6,0.9,7.5,0.9,0.37,0.14
"15","K13","Combined",1.42,0.3,0.52,0.13,0.13,0.06,0.04,0.01,6.4,0.6,8.5,0.9,0.28,0.08
"16","K27R","Combined",2.15,0.3,1.51,0.4,0.25,0.15,0.3,0.04,7.4,1.2,11.4,0.9,0.24,0.05
"17","K27","Combined",3.09,0.4,0.93,0.14,0.25,0.15,0.12,0.03,11.8,0.8,16.1,1,0.42,0.08
"18","KR.Restored","Open",NA,NA,0.34,0.03,NA,NA,NA,NA,5.1,0.3,5.5,0.3,NA,NA
"19","KR.Restored","Canopy",0.77,0.1,1.33,0.2,0.05,0.03,0.05,0.01,5.7,0.3,7.9,0.3,0.12,0.03
"20","KR.Thicket","Open",NA,NA,1.05,0.33,NA,NA,NA,NA,6.3,0.5,NA,NA,NA,NA
"21","KR.Thicket","Canopy",NA,NA,2.03,0.46,NA,NA,NA,NA,7.3,0.7,NA,NA,NA,NA
"22","KR.Restored","Combined",0.34,0.04,0.78,0.09,0.05,0.03,0.02,0.01,5.4,0.3,6.5,0.3,NA,NA
"23","KR.Thicket","Combined",NA,NA,1.63,0.33,NA,NA,NA,NA,6.9,0.6,NA,NA,NA,NA
"24","SWFencelinec","",3.42,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
