"","SSample","Status","SoilC","RootC","BgC","BiomC","LitC","AgC"
"1","M1","Restored50",119.957096,8.169154892,128.1262509,113.3294353,20.98488889,134.3143242
"2","M2","Restored50",157.2833182,3.814654947,161.0979731,119.1035544,30.76977778,149.8733322
"3","M3","Restored50",91.30493565,8.817570365,100.122506,124.4511598,21.79555556,146.2467154
"4","M4","Restored50",100.5509779,4.22138764,104.7723655,73.49293831,20.25244444,93.74538275
"5","M5","Restored50",88.94501454,10.27191605,99.21693059,153.6935285,24.512,178.2055285
"6","M6","Restored50",57.48967629,79.23525402,136.7249303,78.89288137,22.93333333,101.8262147
"7","M7","Restored50",88.28891812,6.804310214,95.09322833,90.44143812,35.78311111,126.2245492
"8","M8","Restored35",NA,NA,NA,23.01906628,19.81155556,42.83062184
"9","M9","Restored35",27.51388441,8.569517837,36.08340225,80.0479892,13.14844444,93.19643364
"10","M10","Restored35",NA,NA,NA,82.58482518,9.948444444,92.53326962
"11","M11","Restored35",110.0212912,3.396917057,113.4182083,15.61520446,4.522666667,20.13787113
"12","M12","Restored35",109.077079,1.975675146,111.0527541,23.52479037,7.388444444,30.91323481
"13","M13","Restored35",140.3850516,2.335882452,142.7209341,57.62462115,12.25955556,69.88417671
"14","M14","Restored35",NA,NA,NA,35.26622228,22.23644444,57.50266672
"15","M15","Degraded",90.51901535,0.29591749,90.81493284,0.042075652,0.045511111,0.087586763
"16","M16","Degraded",NA,NA,NA,54.6999827,0.014222222,54.71420492
"17","M17","Degraded",57.10000684,0.424050999,57.52405784,0.091999427,0.099555556,0.191554983
"18","M18","Degraded",75.84042129,0.708615497,76.54903679,52.96846331,0.004266667,52.97272998
"19","M19","Degraded",63.95685647,0.461948377,64.41880485,0.291069404,0.007111111,0.298180515
"20","M20","Degraded",37.05443339,0.324442179,37.37887557,0.066366171,0.044088889,0.11045506
"21","M21","Degraded",114.1246398,0.068054817,114.1926946,3.082936467,0,3.082936467
