"","Site","Placement","Depth_mm","C_g.kg","SE","n"
"1","Transformed"," Open  ","0–10 ",19,3,5
"2","K5  ","Open  ","0–10 ",24,2,5
"3","K7  ","Open  ","0–10 ",18,4,4
"4","K13  ","Open  ","0–10 ",23,4,5
"5","K27  ","Open  ","0–10 ",44,4,4
"6","K5  ","Canopy ","0–10 ",33,2,5
"7","K7  ","Canopy ","0–10 ",40,11,5
"8","K13  ","Canopy ","0–10 ",27,10,5
"9","K27R  ","Canopy ","0–10 ",96,6,5
"10","K27  ","Canopy ","0–10 ",63,9,5
"11","Transformed"," Open  ","10–30",17,2,5
"12","K5  ","Open  ","10–30",24,4,5
"13","K7  ","Open  ","10–30",19,5,4
"14","K13  ","Open  ","10–30",20,6,5
"15","K27  ","Open  ","10–30",45,4,4
"16","K5  ","Canopy ","10–30",33,7,5
"17","K7  ","Canopy ","10–30",30,7,5
"18","K13  ","Canopy ","10–30",34,10,5
"19","K27R  ","Canopy ","10–30",41,8,5
"20","K27  ","Canopy ","10–30",39,9,5
"21","Transformed"," Open  ","30–60",13,1,5
"22","K5  ","Open  ","30–60",19,4,5
"23","K7  ","Open  ","30–60",17,2,4
"24","K13  ","Open  ","30–60",15,4,4
"25","K27  ","Open  ","30–60",38,3,4
"26","K5  ","Canopy ","30–60",23,8,5
"27","K7  ","Canopy ","30–60",21,2,5
"28","K13  ","Canopy ","30–60",16,2,4
"29","K27R  ","Canopy ","30–60",28,3,5
"30","K27  ","Canopy ","30–60",44,13,4
"31","Transformed"," Open  ","60–100",13,4,4
"32","K5  ","Open  ","60–100",16,1,4
"33","K7  ","Open  ","60–100",17,3,5
"34","K13  ","Open  ","60–100",9,1,4
"35","K27  ","Open  ","60–100",37,5,5
"36","K5  ","Canopy ","60–100",19,4,5
"37","K7  ","Canopy ","60–100",17,2,5
"38","K13  ","Canopy ","60–100",14,3,4
"39","K27R  ","Canopy ","60–100",20,2,5
"40","K27  ","Canopy ","60–100",48,8,5
"41","Transformed"," Open  ","100–150 ",11,3,4
"42","K5  ","Open  ","100–150 ",15,2,3
"43","K7  ","Open  ","100–150 ",14,2,5
"44","K13  ","Open  ","100–150 ",17,3,3
"45","K27  ","Open  ","100–150 ",38,3,5
"46","K5  ","Canopy ","100–150 ",17,2,5
"47","K7  ","Canopy ","100–150 ",14,2,5
"48","K13  ","Canopy ","100–150 ",12,1,4
"49","K27R  ","Canopy ","100–150 ",15,2,5
"50","K27  ","Canopy ","100–150 ",43,7,5
"51","Transformed"," Open  ","150–200",9,2,4
"52","K5  ","Open  ","150–200",12,1,3
"53","K7  ","Open  ","150–200",11,2,5
"54","K13  ","Open  ","150–200",12,7,3
"55","K27  ","Open  ","150–200",26,1,5
"56","K5  ","Canopy ","150–200",16,1,4
"57","K7  ","Canopy ","150–200",12,2,4
"58","K13  ","Canopy ","150–200",12,2,3
"59","K27R  ","Canopy ","150–200",13,5,4
"60","K27  ","Canopy ","150–200",27,2,5
"61","Transformed"," Open  ","200–300",8,1,4
"62","K5  ","Open  ","200–300",9,2,4
"63","K7  ","Open  ","200–300",10,3,5
"64","K13  ","Open  ","200–300",11,5,3
"65","K27  ","Open  ","200–300",10,3,5
"66","K5  ","Canopy ","200–300",8,1,4
"67","K7  ","Canopy ","200–300",11,2,5
"68","K13  ","Canopy ","200–300",13,4,3
"69","K27R  ","Canopy ","200–300",12,4,5
"70","K27  ","Canopy ","200–300",12,1,5
"71","Transformed"," Open  ","300–500",4,1,4
"72","K5  ","Open  ","300–500",7,1,4
"73","K7  ","Open  ","300–500",8,2,4
"74","K13  ","Open  ","300–500",7,4,3
"75","K27  ","Open  ","300–500",12,2,4
"76","K5  ","Canopy ","300–500",6,2,4
"77","K7  ","Canopy ","300–500",8,3,4
"78","K13  ","Canopy ","300–500",8,2,3
"79","K27R  ","Canopy ","300–500",7,2,5
"80","K27  ","Canopy ","300–500",10,1,5
"81","Transformed"," Open  ","500–750",5,NA,2
"82","K5  ","Open  ","500–750",5,2,3
"83","K7  ","Open  ","500–750",4,1,3
"84","K13  ","Open  ","500–750",7,2,5
"85","K27  ","Open  ","500–750",12,NA,2
"86","K5  ","Canopy ","500–750",5,1,4
"87","K7  ","Canopy ","500–750",4,1,4
"88","K13  ","Canopy ","500–750",5,NA,2
"89","K27R  ","Canopy ","500–750",3,NA,2
"90","K27  ","Canopy ","500–750",4,2,3
"91","Transformed"," Open  ","750–1000",3,1,3
"92","K5  ","Open  ","750–1000",5,1,4
"93","K7  ","Open  ","750–1000",5,NA,2
"94","K13  ","Open  ","750–1000",12,4,4
"95","K27  ","Open  ","750–1000",21,NA,2
"96","K5  ","Canopy ","750–1000",8,1,3
"97","K7  ","Canopy ","750–1000",5,2,3
"98","K13  ","Canopy ","750–1000",8,3,3
"99","K27R  ","Canopy ","750–1000",5,1,5
"100","K27  ","Canopy ","750–1000",15,NA,2
